"","study","subject","pipeline","index","fwhm","scheme"
"95","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",6,4.01655675799094,"DSI 258"
"96","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",7,4.02605094358363,"DSI 258"
"97","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",8,4.01198873226054,"DSI 258"
"98","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",9,4.02660410936236,"DSI 258"
"99","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",10,4.02365580303163,"DSI 258"
"100","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",11,4.01323502206285,"DSI 258"
"101","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",12,4.01610254668554,"DSI 258"
"102","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",13,4.03941607264167,"DSI 258"
"103","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",14,4.02746680281449,"DSI 258"
"104","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",15,4.03314225379691,"DSI 258"
"105","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",16,4.03676391037972,"DSI 258"
"106","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",17,4.05250932065321,"DSI 258"
"107","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",18,4.05673257441526,"DSI 258"
"108","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",19,4.05593547886981,"DSI 258"
