"","subject","qc","fwhm","scheme","pipeline"
"89","c50bfb1220d49e44196eb67ce850903f91f424dcce65a4e690bbd9270c284d6f",0.849545,3.79690024836,"MultiShell 113","QSIPrep"
"90","f81bcd76719cbe90b3e8e4aa7280076c97d0c7317621288174b8dff1f078b98a",0.855638,3.85021912893,"MultiShell 113","QSIPrep"
"91","ee540606891686ef85bb8d98be0facb079db536f42d6f54c9d663d2ba9183bd0",0.848733,3.67465157826,"MultiShell 113","QSIPrep"
"92","7ea22ed6a1d65ea5101dc07130036659a125bd655c7866c258c6f18dd054e848",0.817833,4.23358244576,"MultiShell 113","QSIPrep"
"93","8769d5f14268a335f1e05d4af631efb57be4362393e27317279ac2647c11271d",0.839869,4.34626695736,"MultiShell 113","QSIPrep"
"94","88c118475c2df34236ce7c4a322602a2a3289ed6ab12838af62069a9ad348c1e",0.848656,4.29902307384,"MultiShell 113","QSIPrep"
"95","295d350d0e9fd4d0b1c0397ab95027df577ee0bca6c9b329133741f7f851d8d2",0.859945,3.96150754844,"MultiShell 113","QSIPrep"
"96","adc6b180f47ff8b799456caa22efe210fccc5c7d3c6be629ddf592e0e2da4a2b",0.86102,4.01890438927,"MultiShell 113","QSIPrep"
"97","075cfee83ce63f6dd7d505d48a7c26ac214cabfa8d1c1f2dab692892f876d78b",0.827338,4.17338127915,"MultiShell 113","QSIPrep"
"98","dfa01e6c6a9995260283412190b18c54fe71c895375ed4e00cad319edcb7f449",0.825137,4.3550588387,"MultiShell 113","QSIPrep"
"99","90c34e4bdad8740962f28561b042a1fc3eba0b3079935ab34f684b33132b9bb5",0.851274,3.96781204882,"MultiShell 113","QSIPrep"
"100","efdc99f1746ce090ed115be96ac4e370eda7519248dde0e2284e013e928ea9cd",0.797057,3.89288230707,"MultiShell 113","QSIPrep"
"101","11043e76fd66063d6537548373dd0dc2227147aa78c15fbd22b0d7ba8e1bb24f",0.861082,3.87885795786,"MultiShell 113","QSIPrep"
"102","ef7100a9aa090b9417fac134f5ef136f2b2c0a8253c4bc8c7630e10c5b016f9a",0.855187,3.93654957265,"MultiShell 113","QSIPrep"
"103","e4f1b20c045832198cd0a0f16a9d78556c7538ba04c1e81513a08f4448cac760",0.824905,3.70600114595,"MultiShell 113","QSIPrep"
"104","bb9ff3366f00df1c2e72cc7918eb3cdfe5ec6d53be79eebebaf30390a5aad849",0.836603,4.08322221297,"MultiShell 113","QSIPrep"
"105","c213029079b297e1df26c37a350110e398637cd042b5ca7e28810b1ec0a5230f",0.853113,3.7507663804,"MultiShell 113","QSIPrep"
"106","e424bc673a337d00cef95a98540f241016b50ef4ec1547cb064b71f959afde8a",0.835853,3.87548254195,"MultiShell 113","QSIPrep"
"107","aae96b76a16a80e3f71efbdfd82979be1cd78b5415bf9ae47a42a6ca4912b622",0.857802,3.96439322129,"MultiShell 113","QSIPrep"
"108","f5e0adbce72af5c26872e66cea0b9508bb882eabab2f0e690fdd45b715d1ee53",0.803613,4.07514218015,"MultiShell 113","QSIPrep"
